TRADE_DT	S_INFO_WINDCODE	open	close	high	low	volume	vwap
20230623	AAPL	183.15328303090953	184.2686767578125	185.13731475683954	182.6202496908907	53117000	183.79488105911304
20230626	AAPL	184.41677010681076	182.87692260742188	185.62101290744985	182.83743084186574	48088700	183.93803411588706
20230627	AAPL	183.48889069387212	185.630859375	185.9565986299679	183.27173119056016	50730800	184.58701997235005
20230628	AAPL	185.50253915791174	186.8054962158203	187.44709427325768	185.17681495512898	51216800	186.23298615052968
20230629	AAPL	186.6376758009822	187.14108276367188	187.61489349976054	186.49948476837957	46347300	186.97328420819855
20230630	AAPL	189.15475231695294	191.4645233154297	191.96793030893548	188.7895213028153	85213200	190.34418181103334
20230703	AAPL	191.27698682945007	189.9740447998047	191.37570117698604	189.28307449044232	31458200	190.47745182417077
20230705	AAPL	189.09553270560195	188.85862731933594	190.48730854754436	188.15779163185775	46920300	189.149815051085
20230706	AAPL	187.38790305527482	189.33245849609375	189.5397526306188	186.7561703019228	45094300	188.25407112097753
20230707	AAPL	188.9375920522482	188.21701049804688	190.1813114167851	187.7827065576724	46815000	188.77965513118815
20230710	AAPL	186.8153345366687	186.17373657226562	187.53591601497686	184.62400893826026	59922200	186.28724901554284
20230711	AAPL	186.71667122446578	185.65061950683594	186.85486227702734	184.18974051380027	46638100	185.85297338053235
20230712	AAPL	187.22995293607858	187.3188018798828	189.2238654174545	186.0355905787657	60750200	187.45205270304538
20230713	AAPL	188.03936545890204	188.07884216308594	188.72045533421505	187.32866429002723	41342300	188.04183181155759
20230714	AAPL	187.77280284934832	188.22686767578125	188.7105287268448	187.1805620612046	41616200	187.97269032829473
20230717	AAPL	189.421252931179	191.48426818847656	191.81000743962883	189.33241906132668	50520200	190.51198690515275
20230718	AAPL	190.85253399958415	191.2276153564453	191.81987127398517	189.93453883356673	48288200	190.95863986589535
20230719	AAPL	190.60574416603285	192.5799102783203	195.66947000209956	190.16154474141445	80507300	192.25416729696678
20230720	AAPL	192.57005054034346	190.6353759765625	193.93223012421538	190.01350876450033	59581200	191.78779135140542
20230721	AAPL	191.59285775033445	189.46075439453125	192.45161532627134	188.75991868585442	71951700	190.56628653924787
20230724	AAPL	190.91179356457312	190.26031494140625	192.39241858357238	189.7667732684065	45377800	190.83282508948957
20230725	AAPL	190.83277109248917	191.1190185546875	191.92843389899372	190.42806342033606	37283200	191.07707174162658
20230726	AAPL	191.1684052777898	191.98768615722656	193.11296042478057	190.8229351880455	47471900	191.7729967619606
20230727	AAPL	193.48804855415668	190.72421264648438	194.65279947329122	190.06286872536143	47460200	192.23198234982343
20230728	AAPL	192.15548645475204	193.30050659179688	194.09017617119656	191.63233355900982	48291400	192.79462569418882
20230731	AAPL	193.52754422924545	193.91250610351562	193.9519978690126	192.73787459795656	38824100	193.53248069993253
20230801	AAPL	193.7052107356477	193.08334350585938	194.1888718595327	192.75760424557473	35175100	193.43375758665363
20230802	AAPL	192.52071519961737	190.09249877929688	192.6589062555568	189.37193220630533	50389300	191.1610131101941
20230803	AAPL	189.09554118067888	188.70069885253906	189.885195713569	188.22690312046603	61235200	188.97708471681324
20230804	AAPL	183.12370037395337	179.63929748535156	184.95967593788856	179.57019442385428	115956800	181.82321705526192
20230807	AAPL	179.77744139189664	176.53981018066406	180.76452444560638	175.05918560009945	97576100	178.03524040456665
20230808	AAPL	177.36897457174686	177.47755432128906	177.94148460917899	175.2862285117603	67823000	177.0185605034938
20230809	AAPL	178.53375806746422	175.8883819580078	178.59298065772126	174.7236157900662	60378500	176.93468411831486
20230810	AAPL	177.16169386807627	175.67120361328125	178.41529378720278	175.30598763799586	54686900	176.63854472663903
20230811	AAPL	175.26594233781003	175.73048400878906	176.55087114534	174.50485775151037	52036700	175.51303881086238
20230814	AAPL	175.90841909398483	177.38116455078125	177.60849603671858	175.2560608313475	43675600	176.53853512820803
20230815	AAPL	176.8078826094104	175.39443969726562	177.40092323969566	174.99907927707545	43622600	176.15058120586178
20230816	AAPL	175.07812294847426	174.5246124267578	176.4717779827851	174.45541607052797	46964900	175.13248235713627
20230817	AAPL	175.08801600845376	171.98439025878906	175.4537251155125	171.47040969711574	66062900	173.49913526996778
20230818	AAPL	170.30410101859755	172.46873474121094	173.07166917955516	169.96804315644715	61172200	171.45313702395268
20230821	AAPL	173.04203097276417	173.8031005859375	174.08974972921308	171.7274356199635	46311900	173.16557922696956
20230822	AAPL	175.00895776189057	175.17698669433594	175.62177093693052	174.2083431088137	42038900	175.00401462549266
20230823	AAPL	176.45206899868776	179.02194213867188	179.44696895877536	176.2642675025049	52722800	177.79631189966
20230824	AAPL	178.57713623123834	174.3368377685547	179.0021629998802	173.97111355320405	54945800	176.47181263821932
20230825	AAPL	175.3252830926219	176.54103088378906	177.07476903438783	173.78335612196395	51449600	175.6811097831907
20230828	AAPL	178.003859262239	178.1027069091797	178.49806733287568	176.48170504077262	43820700	177.7715846362667
20230829	AAPL	177.61838490226515	181.9871826171875	182.7581460326424	177.4207046822572	53003900	179.94610455858808
20230830	AAPL	182.7976884731864	185.47628784179688	185.67398314097	182.6000082560471	60813900	184.1369919280001
20230831	AAPL	185.66407430986655	185.6937255859375	186.9292456956689	185.30824391498263	60794500	185.8988223766139
20230901	AAPL	187.29498636168424	187.2653350830078	187.7199980774023	186.09899615427736	45766500	187.0948289190929
20230905	AAPL	186.09899903788357	187.50254821777344	187.7793035443977	185.43676200045883	45280000	186.7044032001284
20230906	AAPL	186.21760937163043	180.7912139892578	186.66240873519862	179.36789222272253	81755800	183.25978107970235
20230907	AAPL	173.1507234483217	175.50315856933594	176.14563807720947	171.5297216636145	112488800	174.08231043962041
20230908	AAPL	176.2840260730559	176.11598205566406	178.15213198996554	175.7305003611282	65551300	176.5706601199534
20230911	AAPL	177.9840695669679	177.28228759765625	178.21140101532347	175.2856831308839	58953100	177.19086032770787
20230912	AAPL	177.4108321261293	174.25778198242188	178.04341790139725	172.79493020499618	90370200	175.62674055373614
20230913	AAPL	174.46531572894506	172.1919708251953	175.24617287306006	171.96462426919445	84267900	173.46702092409873
20230914	AAPL	171.98438956640607	173.70423889160156	174.06006926639952	171.56925664281374	60895800	172.82948859180522
20230915	AAPL	174.4356540223445	172.98268127441406	174.45542656560403	171.80647888602266	109259500	173.4200601870963
20230918	AAPL	174.4356864419302	175.90843200683594	177.3021024660386	174.12927983360214	67257600	175.44387518710172
20230919	AAPL	175.4636488877364	176.99569702148438	177.54920768301113	175.07816717117066	51826900	176.27168019085065
20230920	AAPL	177.18347129792434	173.4571533203125	177.61837681135137	173.36818440563272	58436200	175.40679645880525
20230921	AAPL	172.5280351536478	171.9152069091797	174.25776334751873	171.846025624082	63149100	172.63675775860705
20230922	AAPL	172.64662317617766	172.76522827148438	175.02870938713053	172.03381007438438	56725400	173.11859272729424
20230925	AAPL	172.1820865728236	174.04031372070312	174.92000347180993	172.13266274999066	46172700	173.31876662883184
20230926	AAPL	172.7949188930673	169.96804809570312	173.1705067749598	169.67152023376326	64588900	171.40124849937337
